STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CRI,Costa Rica,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,8,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CPV,Cabo Verde,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,1,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CUW,Curacao,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,2,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CYP,Cyprus,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,2,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CZE,Czechia,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,32,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DEU,Germany,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,330,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DJI,Djibouti,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,4,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DNK,Denmark,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,37,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DOM,Dominican Republic,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,4,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECU,Ecuador,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,15,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EST,Estonia,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,8,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EGY,"Egypt, Arab Rep.",PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,6,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ESP,Spain,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,71,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ETH,Ethiopia,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,2,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FIN,Finland,PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,37,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FSM,"Micronesia, Fed. Sts.",PEERING_DB_CONN_DATA_CENT,Number of connected data centers (PeeringDB),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DC,Data centers,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,1,SUM,Sum,PEERING_DB,"Interconnection Database, Number of Connected Data Centers",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
